Rd.,Opponent,Result,PF,PA
1,High Tech B,W,170,65
2,Hunter B,L,120,165
3,Hotchkiss C,W,260,5
4,East Brunswick C,W,200,35
5,Livingston A,W,200,65
6,East Brunswick A,W,150,120
7,Belmont B,W,170,45
8,Hunter A,L,120,140
9,Livingston A,W,220,20
10,High Tech A,W,175,75
11,Hunter B,W,165,85
,Total,,1950,820
Rd.,Opponent,Result,PF,PA
1,Hotchkiss A,L,35,180
2,Biotech B,W,115,85
3,Roxbury Prep High School,W,205,20
4,High Tech A,L,105,130
5,Hunter C,W,115,75
6,Hunter A,L,65,175
7,Belmont A,L,45,170
8,Livingston A,L,110,115
9,High Tech A,L,65,120
10,East Brunswick A,L,35,185
11,Livingston B,L,45,155
,Total,,940,1410
Rd.,Opponent,Result,PF,PA
1,Staples,L,85,120
2,Millburn,W,145,80
3,East Brunswick A,L,60,205
4,Livingston B,L,35,180
5,Hotchkiss B,W,140,75
6,Hotchkiss C,W,125,40
7,East Brunswick C,W,115,90
8,Wilton High,L,100,120
9,Roxbury Prep High School,W,145,55
10,Hunter C,W,100,95
,Total,,1050,1060
Rd.,Opponent,Result,PF,PA
1,Roxbury Prep High School,W,125,35
2,Belmont B,L,85,115
3,High Tech A,L,50,160
4,Hunter C,W,120,105
5,Hotchkiss A,L,10,215
6,High Tech C,W,110,55
7,Staples,L,40,125
8,High Tech B,L,55,130
9,Fordham Prep,W,110,100
10,Hotchkiss B,L,35,115
,Total,,740,1155
Rd.,Opponent,Result,PF,PA
1,Millburn,W,180,75
2,Hotchkiss B,W,180,40
3,Biotech A,W,205,60
4,Staples,W,120,95
5,Livingston B,W,200,20
6,Belmont A,L,120,150
7,Livingston A,W,160,90
8,High Tech A,W,145,90
9,Hunter A,L,110,145
10,Belmont B,W,185,35
11,Ridgewood A,L,115,145
,Total,,1720,945
Rd.,Opponent,Result,PF,PA
1,Fordham Prep,W,180,5
2,Wilton High,W,145,40
3,Hunter A,L,105,155
4,High Tech C,W,140,75
5,Ridgewood A,L,45,165
6,Ridgewood A,L,105,150
7,Millburn,W,120,50
8,Livingston B,W,95,90
9,Hotchkiss A,L,45,160
10,Hunter B,L,50,190
11,High Tech A,W,120,75
,Total,,1150,1155
Rd.,Opponent,Result,PF,PA
1,Livingston A,L,25,185
2,High Tech B,L,70,105
3,Hunter B,L,40,210
4,Belmont A,L,35,200
5,Hotchkiss C,W,110,15
6,Wilton High,L,75,135
7,Biotech A,L,90,115
8,Hunter C,W,130,55
9,Hotchkiss C,W,95,50
10,Roxbury Prep High School,W,125,45
,Total,,795,1115
Rd.,Opponent,Result,PF,PA
1,East Brunswick B,L,5,180
2,Ridgewood A,L,45,165
3,Wilton High,L,50,150
4,Hunter A,L,35,210
5,High Tech C,W,115,85
6,Staples,L,50,135
7,High Tech B,L,70,115
8,Hotchkiss B,L,105,110
9,Biotech B,L,100,110
10,High Tech C,W,80,70
,Total,,655,1330
Rd.,Opponent,Result,PF,PA
1,Hunter C,W,135,95
2,Hotchkiss A,L,65,185
3,Biotech B,W,160,50
4,Belmont B,W,130,105
5,Roxbury Prep High School,W,180,25
6,Livingston A,W,165,90
7,Hunter A,L,100,125
8,East Brunswick A,L,90,145
9,Belmont B,W,120,65
10,Belmont A,L,75,175
11,East Brunswick B,L,75,120
,Total,,1295,1180
Rd.,Opponent,Result,PF,PA
1,Belmont A,L,65,170
2,East Brunswick C,W,105,70
3,Livingston A,L,50,190
4,Hotchkiss C,W,190,45
5,Hunter B,L,15,230
6,Hotchkiss B,W,100,95
7,Fordham Prep,W,115,70
8,Biotech B,W,130,55
9,High Tech C,W,145,35
10,Staples,L,105,115
,Total,,1020,1075
Rd.,Opponent,Result,PF,PA
1,Wilton High,L,50,160
2,Hunter A,L,40,220
3,Ridgewood A,L,40,190
4,East Brunswick B,L,75,140
5,Fordham Prep,L,85,115
6,Biotech B,L,55,110
7,Hotchkiss B,L,50,165
8,Staples,W,85,45
9,High Tech B,L,35,145
10,Fordham Prep,L,70,80
,Total,,585,1370
Rd.,Opponent,Result,PF,PA
1,Belmont B,W,180,35
2,High Tech A,W,185,65
3,Hunter C,W,220,50
4,Roxbury Prep High School,W,185,5
5,Biotech B,W,215,10
6,Livingston B,W,160,75
7,Ridgewood A,W,170,90
8,Hunter B,W,170,75
9,East Brunswick B,W,160,45
10,Millburn,W,125,80
11,Hunter A,L,115,145
,Total,,1885,675
Rd.,Opponent,Result,PF,PA
1,Livingston B,L,75,155
2,East Brunswick A,L,40,180
3,Staples,L,100,105
4,Millburn,L,95,125
5,Biotech A,L,75,140
6,High Tech B,L,95,100
7,High Tech C,W,165,50
8,Fordham Prep,W,110,105
9,Staples,L,35,115
10,Biotech B,W,115,35
,Total,,905,1110
Rd.,Opponent,Result,PF,PA
1,Hunter B,L,20,195
2,Livingston A,L,40,165
3,Belmont A,L,5,260
4,High Tech B,L,45,190
5,East Brunswick C,L,15,110
6,Biotech A,L,40,125
7,Hunter C,L,55,115
8,Roxbury Prep High School,W,85,25
9,East Brunswick C,L,50,95
10,Wilton High,L,45,110
,Total,,400,1390
Rd.,Opponent,Result,PF,PA
1,Ridgewood A,W,120,110
2,High Tech C,W,220,40
3,East Brunswick B,W,155,105
4,Fordham Prep,W,210,35
5,Wilton High,W,185,40
6,Belmont B,W,175,65
7,High Tech A,W,125,100
8,Belmont A,W,140,120
9,East Brunswick A,W,145,110
10,Livingston A,W,180,65
11,Hotchkiss A,W,145,115
,Total,,1800,905
Rd.,Opponent,Result,PF,PA
1,Hotchkiss C,W,195,20
2,Belmont A,W,165,120
3,East Brunswick C,W,210,40
4,Livingston A,W,150,90
5,High Tech B,W,230,15
6,Millburn,W,180,60
7,Livingston B,W,140,60
8,Hotchkiss A,L,75,170
9,Ridgewood A,W,130,120
10,East Brunswick B,W,190,50
11,Belmont A,L,85,165
,Total,,1750,910
Rd.,Opponent,Result,PF,PA
1,High Tech A,L,95,135
2,Roxbury Prep High School,W,155,35
3,Hotchkiss A,L,50,220
4,Biotech B,L,105,120
5,Belmont B,L,75,115
6,Roxbury Prep High School,W,165,15
7,Hotchkiss C,W,115,55
8,East Brunswick C,L,55,130
9,Wilton High,L,85,115
10,Biotech A,L,95,100
,Total,,995,1040
Rd.,Opponent,Result,PF,PA
1,East Brunswick C,W,185,25
2,Hotchkiss C,W,165,40
3,High Tech B,W,190,50
4,Hunter B,L,90,150
5,Belmont A,L,65,200
6,High Tech A,L,90,165
7,East Brunswick A,L,90,160
8,Belmont B,W,115,110
9,Belmont A,L,20,220
10,Hunter A,L,65,180
11,Millburn,W,110,105
,Total,,1185,1405
Rd.,Opponent,Result,PF,PA
1,Hotchkiss B,W,155,75
2,Staples,W,105,80
3,Millburn,W,135,55
4,Biotech A,W,180,35
5,East Brunswick A,L,20,200
6,Hotchkiss A,L,75,160
7,Hunter B,L,60,140
8,East Brunswick B,L,90,95
9,Millburn,L,80,125
10,Ridgewood A,L,115,135
11,Belmont B,W,155,45
,Total,,1170,1145
Rd.,Opponent,Result,PF,PA
1,East Brunswick A,L,75,180
2,Biotech A,L,80,145
3,Livingston B,L,55,135
4,Hotchkiss B,W,125,95
5,Staples,W,150,50
6,Hunter B,L,60,180
7,East Brunswick B,L,50,120
8,Ridgewood A,L,110,125
9,Livingston B,W,125,80
10,Hotchkiss A,L,80,125
11,Livingston A,L,105,110
,Total,,1015,1345
Rd.,Opponent,Result,PF,PA
1,Hunter A,L,110,120
2,Fordham Prep,W,165,45
3,High Tech C,W,190,40
4,Wilton High,W,175,50
5,East Brunswick B,W,165,45
6,East Brunswick B,W,150,105
7,Hotchkiss A,L,90,170
8,Millburn,W,125,110
9,Hunter B,L,120,130
10,Livingston B,W,135,115
11,East Brunswick A,W,145,115
,Total,,1570,1045
Rd.,Opponent,Result,PF,PA
1,Biotech B,L,35,125
2,Hunter C,L,35,155
3,Belmont B,L,20,205
4,Hotchkiss A,L,5,185
5,High Tech A,L,25,180
6,Hunter C,L,15,165
7,Wilton High,L,40,130
8,Hotchkiss C,L,25,85
9,Biotech A,L,55,145
10,East Brunswick C,L,45,125
,Total,,300,1500
Rd.,Opponent,Result,PF,PA
1,Biotech A,W,120,85
2,Livingston B,L,80,105
3,Hotchkiss B,W,105,100
4,East Brunswick A,L,95,120
5,Millburn,L,50,150
6,Fordham Prep,W,135,50
7,Biotech B,W,125,40
8,High Tech C,L,45,85
9,Hotchkiss B,W,115,35
10,High Tech B,W,115,105
,Total,,985,875
Rd.,Opponent,Result,PF,PA
1,High Tech C,W,160,50
2,East Brunswick B,L,40,145
3,Fordham Prep,W,150,50
4,Ridgewood A,L,50,175
5,Hunter A,L,40,185
6,East Brunswick C,W,135,75
7,Roxbury Prep High School,W,130,40
8,Biotech A,W,120,100
9,Hunter C,W,115,85
10,Hotchkiss C,W,110,45
,Total,,1050,950
