Woodland,595,Concord-Carlisle,25
\nActon-Boxborough B,260,Commonwealth,155
\nBelmont,505,Acton-Boxborough A,145
\nRocky Hill B,190,Advanced Math &amp; Science Academy,65
\nShrewsbury,190,Rockville A,115
\nSharon,285,Marlborough,160
\nBoston Latin,235,Brookline B,165
\nBrookline A,395,Bronx Science,135
\nRockville B,150,Wellesley,130
\nChenery,370,"""Lexington Scholars""",180
\nDexter Southfield,290,St. John\'s Prep,120
\nLittleton,280,Mystic Valley,125
\nWeston,240,Rocky Hill A,130
,\nBuckingham,,Browne
\nNorth Quincy,375,Plymouth,130
\nConcord-Carlisle,210,Advanced Math &amp; Science Academy,75
\nCommonwealth,220,Bronx Science,130
\nRockville A,130,Rocky Hill B,45
\nBelmont,635,Rockville B,10
\nActon-Boxborough B,210,St. John\'s Prep,105
\nWoodland,435,Shrewsbury,40
\nChenery,400,Mystic Valley,55
"\n""Lexington Scholars""",205,Boston Latin,190
\nActon-Boxborough A,185,Dexter Southfield,145
\nBrookline A,390,Wellesley,5
\nWeston,210,North Quincy,195
,\nBuckingham,,Browne
\nHopkinton,330,Sharon,120
\nPlymouth,265,Cushing,65
\nMarlborough,170,Brookline B,130
\nConcord-Carlisle,170,Rocky Hill B,85
\nWoodland,625,Rockville A,15
\nAdvanced Math &amp; Science Academy,90,Shrewsbury 80,(OT)
\nCommonwealth,215,Dexter Southfield,130
\nBrookline A,490,Acton-Boxborough B,80
\nChenery,485,Brookline B,85
\nNorth Quincy,485,Rocky Hill A,0
\nActon-Boxborough A,395,Rockville B,55
"\n""Lexington Scholars""",320,Mystic Valley,90
\nWeston,260,Cushing,50
,\nBuckingham,,Browne
\nBronx Science,285,Wellesley,75
\nBelmont,565,St. John\'s Prep,70
\nBoston Latin,190,Sharon,150
\nLittleton,235,Hopkinton,155
\nWoodland,590,Advanced Math &amp; Science Academy,45
\nConcord-Carlisle,170,Rockville A,50
\nShrewsbury,195,Rocky Hill B,115
\nBrookline A,385,Commonwealth,165
\nRocky Hill A,145,Plymouth,120
\nActon-Boxborough A,365,Bronx Science,140
\nNorth Quincy,455,Cushing,0
\nSt. John\'s Prep,185,Rockville B,85
\nChenery,525,Boston Latin,60
\nMystic Valley,170,Brookline B,30
,\nBuckingham,,Browne
"\n""Lexington Scholars""",190,Hopkinton,180
\nMarlborough,160,Littleton,145
\nActon-Boxborough B,335,Wellesley,25
\nBelmont,545,Dexter Southfield,105
\nWoodland,465,Rocky Hill B,105
\nAdvanced Math &amp; Science Academy,205,Rockville A,60
\nPlymouth,215,Weston,115
\nRocky Hill A,160,Cushing,45
\nActon-Boxborough A,330,St. John\'s Prep,150
\nCommonwealth,250,Wellesley,85
\nHopkinton,375,Marlborough,70
\nBelmont,485,Brookline A,185
\nChenery,425,,Buckingham
\nBoston Latin,265,Mystic Valley,170
\nBrookline B,225,"""Lexington Scholars""",200
\nDexter Southfield,180,Rockville B,85
\nLittleton,230,Sharon,160
\nActon-Boxborough B,245,Bronx Science,240
\nConcord-Carlisle,190,Shrewsbury,115
\nBelmont,445,North Quincy,170
\nRockville B,135,Cushing,55
\nSt. John\'s Prep,195,Brookline B,110
\nShrewsbury,230,Marlborough,150
,\nBuckingham,,Browne
\nWoodland,415,Chenery,280
\nWellesley,185,Rockville A,90
\nSharon,190,Mystic Valley,180
\nBoston Latin,250,Commonwealth,185
"\n""Lexington Scholars""",300,Littleton,185
\nDexter Southfield,205,Bronx Science 195,(OT)
\nWeston,240,Concord-Carlisle,140
\nBrookline A,415,Acton-Boxborough A,205
\nRocky Hill A,135,Advanced Math &amp; Science Academy,105
\nWoodland,495,Brookline A,120
\nBronx Science,245,Marlborough,130
\nBoston Latin,280,Shrewsbury,50
\nLittleton,215,Acton-Boxborough B,170
\nActon-Boxborough A,365,Concord-Carlisle,60
\nAdvanced Math &amp; Science Academy,160,Rocky Hill B,35
\nDexter Southfield,270,Plymouth,160
\nWellesley,255,Rockville B,35
\nChenery,400,Weston,110
\nCushing,120,Rockville A,90
\nCommonwealth,375,St. John\'s Prep,60
\nBelmont,410,,Buckingham
\nSharon,195,Rocky Hill A,120
\nNorth Quincy,320,"""Lexington Scholars""",175
\nDexter Southfield,225,Shrewsbury,135
\nChenery,550,Concord-Carlisle,20
,\nBuckingham,,Browne
\nBelmont,445,Acton-Boxborough B,125
\nCommonwealth,255,Marlborough,95
\nBrookline A,340,Weston,125
\nPlymouth,280,Brookline B,95
\nBoston Latin,325,St. John\'s Prep,65
\nWellesley,125,Cushing,60
\nNorth Quincy,355,Littleton,165
\nRockville A,150,Rockville B,120
\nRocky Hill A,165,Mystic Valley,70
\nWoodland,475,Acton-Boxborough A,160
\nSharon,215,Rocky Hill B,130
\nCommonwealth,310,Shrewsbury,100
,\nBuckingham,,Browne
\nPlymouth,235,Boston Latin,150
\nBronx Science,255,Brookline B,130
\nBrookline A,245,Concord-Carlisle,195
\nWoodland,410,Weston,195
\nCushing,140,Rockville B,135
\nNorth Quincy,325,Acton-Boxborough B,130
\nBelmont,545,"""Lexington Scholars""",120
\nChenery,575,Acton-Boxborough A,80
\nAdvanced Math &amp; Science Academy,165,Mystic Valley,145
\nRocky Hill A,250,Rocky Hill B,85
\nRockville A,165,Wellesley,160
\nBronx Science,340,Plymouth,125
\nDexter Southfield,210,Brookline B,135
\nActon-Boxborough B,215,"""Lexington Scholars""",190
\nChenery,310,Brookline A,280
\nBelmont,550,Littleton,85
\nShrewsbury,245,St. John\'s Prep,130
\nBoston Latin,190,Marlborough,170
\nBuckingham,400,North Quincy,200
\nActon-Boxborough A,285,Weston,175
\nSharon,120,Advanced Math &amp; Science Academy,100
\nRockville A,190,Cushing,65
\nWoodland,500,Concord-Carlisle,70
\nMystic Valley,190,Rocky Hill B,90
\nWellesley,165,Rockville B,115
\nBelmont,400,Woodland,275
