Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",590,9,8,1,380,22.35,Catholic,80,0,3,4,70,23.33,20
"
Baton Rouge Episcopal A",535,3,13,0,360,22.50,Wakeland B,60,1,2,3,40,13.33,20
"
Caddo Magnet",555,9,6,2,370,24.67,Howard Middle,90,1,3,1,50,12.50,20
"
Jesuit B",400,0,14,2,270,19.29,Caddo Virtual,30,0,1,0,20,20.00,20
"
Chelsea",430,3,11,1,280,20.00,Haynes Academy,120,1,4,1,70,14.00,20
"
Episcopal-Acadiana",370,1,13,3,240,17.14,Vandebilt Catholic B,60,0,2,0,40,20.00,20
"
Jesuit A",460,3,10,1,320,24.62,Ben Franklin,170,2,4,2,110,18.33,20
"
Wakeland A",415,5,8,2,270,20.77,Lusher,220,2,4,2,160,26.67,20
"
Baton Rouge Episcopal B",360,2,10,2,240,20.00,TAG Magnet A,190,2,5,0,110,15.71,20
"
TAG Magnet B",230,1,8,1,140,15.56,C. E. Byrd,140,0,6,0,80,13.33,20
"
Archbishop Rummel",240,3,5,5,170,21.25,St. Paul's A,180,0,8,2,110,13.75,20
"
St. Paul's B",160,0,6,2,110,18.33,Vandebilt Catholic A,145,0,8,1,70,8.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Caddo Magnet",605,10,7,3,400,23.53,Vandebilt Catholic B,70,0,3,0,40,13.33,20
"
Baton Rouge Episcopal B",450,5,10,3,290,19.33,Caddo Virtual,0,0,0,0,0,0.00,20
"
Chelsea",395,3,11,2,250,17.86,Vandebilt Catholic A,70,0,4,0,30,7.50,20
"
Jesuit A",385,2,10,5,280,23.33,St. Paul's B,85,0,4,1,50,12.50,20
"
Catholic",360,7,5,5,230,19.17,TAG Magnet B,175,1,6,0,100,14.29,20
"
Wilton",445,6,6,1,300,25.00,Baton Rouge Episcopal A,305,3,5,0,210,26.25,20
"
TAG Magnet A",225,4,5,1,120,13.33,Archbishop Rummel,150,2,4,2,90,15.00,20
"
Wakeland B",140,1,7,1,60,7.50,C. E. Byrd,90,0,4,0,50,12.50,20
"
Howard Middle",305,4,7,1,180,16.36,Lusher,255,4,4,1,160,20.00,20
"
Haynes Academy",230,3,6,3,140,15.56,Ben Franklin,200,1,7,1,120,15.00,20
"
Wakeland A",245,5,4,4,150,16.67,Episcopal-Acadiana,235,2,7,1,140,15.56,20
"
Jesuit B",255,0,9,1,170,18.89,St. Paul's A,250,2,8,0,140,14.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",640,10,8,0,410,22.78,TAG Magnet B,20,0,1,2,20,20.00,20
"
Baton Rouge Episcopal A",615,7,10,0,410,24.12,C. E. Byrd,85,1,2,0,50,16.67,20
"
Wakeland A",450,7,7,3,290,20.71,Vandebilt Catholic B,95,1,2,2,70,23.33,20
"
Catholic",410,4,9,6,290,22.31,Wakeland B,80,1,3,3,50,12.50,20
"
Ben Franklin",455,3,12,0,290,19.33,St. Paul's B,125,0,5,1,80,16.00,20
"
Caddo Magnet",505,9,4,0,330,25.38,Lusher,225,2,5,1,150,21.43,20
"
Haynes Academy",405,3,11,2,260,18.57,Vandebilt Catholic A,140,2,3,0,80,16.00,20
"
Baton Rouge Episcopal B",435,3,10,2,300,23.08,Archbishop Rummel,210,3,4,1,130,18.57,20
"
TAG Magnet A",375,3,9,0,240,20.00,Jesuit B,200,3,4,1,120,17.14,20
"
Jesuit A",400,5,7,3,270,22.50,Chelsea,275,4,4,1,180,22.50,20
"
St. Paul's A",250,1,10,1,140,12.73,Caddo Virtual,165,0,6,1,110,18.33,20
"
Howard Middle",320,3,7,1,210,21.00,Episcopal-Acadiana,255,1,8,2,170,18.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ben Franklin",620,8,11,0,390,20.53,Vandebilt Catholic A,15,0,1,1,10,10.00,20
"
Wilton",560,10,6,2,360,22.50,Wakeland B,60,0,4,0,20,5.00,20
"
Chelsea",535,6,10,1,350,21.88,St. Paul's B,40,1,1,1,20,10.00,20
"
Archbishop Rummel",455,3,13,2,290,18.12,Caddo Virtual,0,0,0,0,0,0.00,20
"
Baton Rouge Episcopal A",480,4,11,4,330,22.00,TAG Magnet B,70,1,2,3,50,16.67,20
"
Lusher",535,11,3,0,340,24.29,Episcopal-Acadiana,165,4,2,1,90,15.00,20
"
Baton Rouge Episcopal B",445,6,8,3,290,20.71,Jesuit B,110,1,3,1,70,17.50,20
"
Howard Middle",445,7,8,2,270,18.00,Vandebilt Catholic B,120,1,3,1,80,20.00,20
"
Caddo Magnet",525,9,5,0,340,24.29,Wakeland A,245,6,0,1,160,26.67,20
"
Catholic",315,8,3,5,190,17.27,C. E. Byrd,140,0,6,0,80,13.33,20
"
TAG Magnet A",255,2,8,1,150,15.00,St. Paul's A,155,1,7,2,80,10.00,20
"
Jesuit A",280,5,4,5,190,21.11,Haynes Academy,255,5,3,0,150,18.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Caddo Magnet",555,7,8,2,380,25.33,Baton Rouge Episcopal B,40,0,2,4,40,20.00,20
"
Wilton",565,7,9,2,380,23.75,Jesuit A,80,0,3,4,70,23.33,20
"
Lusher",430,7,5,1,280,23.33,Jesuit B,140,3,2,1,80,16.00,20
"
Wakeland A",455,8,6,3,290,20.71,Chelsea,170,3,2,1,110,22.00,20
"
St. Paul's A",305,0,11,1,200,18.18,Wakeland B,55,0,3,1,30,10.00,20
"
Howard Middle",400,7,5,5,270,22.50,Archbishop Rummel,175,0,6,3,130,21.67,20
"
Haynes Academy",400,1,11,1,280,23.33,Episcopal-Acadiana,205,2,5,3,140,20.00,20
"
Baton Rouge Episcopal A",380,6,5,0,240,21.82,Catholic,265,3,5,4,190,23.75,20
"
St. Paul's B",220,1,9,1,120,12.00,TAG Magnet B,115,0,5,3,80,16.00,20
"
Caddo Virtual",170,0,8,0,90,11.25,C. E. Byrd,70,0,4,0,30,7.50,20
"
Vandebilt Catholic B",230,0,8,0,150,18.75,Vandebilt Catholic A,175,1,7,0,90,11.25,20
"
Ben Franklin",310,2,7,0,210,23.33,TAG Magnet A,300,3,8,3,190,17.27,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Lusher",490,3,11,1,340,24.29,Haynes Academy,160,2,4,4,110,18.33,20
"
Vandebilt Catholic B",265,0,11,1,160,14.55,C. E. Byrd,10,0,1,0,0,0.00,20
"
Jesuit B",375,3,10,0,230,17.69,Episcopal-Acadiana,155,1,4,4,120,24.00,20
"
Vandebilt Catholic A",205,2,8,1,100,10.00,Caddo Virtual,5,0,1,1,0,0.00,20
"
Caddo Magnet",460,9,3,3,310,25.83,Wilton,265,4,3,1,180,25.71,20
"
TAG Magnet A",345,3,9,0,210,17.50,Archbishop Rummel,195,2,3,1,140,28.00,20
"
TAG Magnet B",235,1,9,2,140,14.00,Wakeland B,90,1,5,1,30,5.00,20
"
St. Paul's A",200,0,9,2,120,13.33,St. Paul's B,60,0,3,0,30,10.00,20
"
Wakeland A",415,8,3,5,290,26.36,Baton Rouge Episcopal A,290,1,7,1,210,26.25,20
"
Jesuit A",360,2,9,2,250,22.73,Baton Rouge Episcopal B,270,3,5,3,190,23.75,20
"
Ben Franklin",290,3,6,1,190,21.11,Howard Middle,250,5,4,1,140,15.56,20
"
Chelsea",370,5,5,1,250,25.00,Catholic,335,3,7,2,230,23.00,20
